circut_length,compound,tyre_life,is_valid
5.412,SOFT,17.0,1
5.412,SOFT,16.0,1
5.412,SOFT,14.0,1
5.412,SOFT,17.0,1
5.412,SOFT,18.0,1
5.412,MEDIUM,18.0,1
5.412,SOFT,13.0,1
5.412,SOFT,17.0,1
5.412,SOFT,14.0,1
5.412,SOFT,15.0,1
5.412,SOFT,15.0,1
5.412,SOFT,19.0,1
5.412,SOFT,14.0,1
5.412,SOFT,18.0,1
5.412,SOFT,20.0,1
5.412,SOFT,12.0,1
5.412,SOFT,14.0,1
5.412,SOFT,23.0,1
5.412,SOFT,14.0,1
5.412,SOFT,15.0,1
5.412,SOFT,15.0,1
5.412,SOFT,16.0,1
5.412,SOFT,13.0,1
5.412,SOFT,14.0,1
5.412,SOFT,15.0,1
5.412,MEDIUM,22.0,1
5.412,SOFT,15.0,1
5.412,SOFT,19.0,1
5.412,SOFT,18.0,1
5.412,SOFT,13.0,1
5.412,MEDIUM,17.0,1
5.412,SOFT,16.0,1
5.412,SOFT,13.0,1
5.412,SOFT,14.0,1
5.412,MEDIUM,16.0,1
5.412,SOFT,17.0,1
5.412,SOFT,15.0,1
5.412,SOFT,13.0,1
5.412,SOFT,16.0,1
5.412,SOFT,12.0,1
5.412,MEDIUM,23.0,1
5.412,SOFT,17.0,1
5.412,SOFT,19.0,1
5.412,SOFT,16.0,1
5.412,SOFT,14.0,1
5.412,SOFT,18.0,1
5.412,SOFT,15.0,1
5.412,SOFT,18.0,1
5.412,SOFT,14.0,1
5.412,SOFT,17.0,1
5.412,MEDIUM,22.0,1
6.174,HARD,34.0,1
6.174,HARD,35.0,1
6.174,HARD,35.0,1
6.174,MEDIUM,16.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
6.174,HARD,37.0,1
6.174,HARD,39.0,1
6.174,HARD,35.0,1
6.174,HARD,34.0,1
6.174,HARD,38.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
6.174,HARD,34.0,1
6.174,HARD,41.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
6.174,MEDIUM,16.0,1
6.174,HARD,34.0,1
5.278,MEDIUM,18.0,1
5.278,HARD,37.0,1
5.278,MEDIUM,20.0,1
5.278,HARD,38.0,1
5.278,HARD,39.0,1
5.278,MEDIUM,22.0,1
5.278,HARD,36.0,1
5.278,HARD,39.0,1
5.278,HARD,39.0,1
5.278,HARD,39.0,1
5.278,HARD,37.0,1
5.278,HARD,37.0,1
5.278,HARD,41.0,1
5.278,MEDIUM,20.0,1
5.278,HARD,38.0,1
5.278,MEDIUM,22.0,1
5.278,HARD,36.0,1
5.278,HARD,43.0,1
5.278,HARD,34.0,1
5.278,HARD,35.0,1
4.909,SOFT,12.0,1
4.909,SOFT,13.0,1
4.909,SOFT,10.0,1
4.909,SOFT,10.0,1
5.412,MEDIUM,26.0,1
5.412,MEDIUM,27.0,1
5.412,HARD,43.0,1
5.412,MEDIUM,24.0,1
5.412,HARD,33.0,1
5.412,HARD,42.0,1
5.412,SOFT,19.0,1
5.412,MEDIUM,16.0,1
5.412,HARD,41.0,1
5.412,MEDIUM,30.0,1
5.412,SOFT,16.0,1
5.412,HARD,41.0,1
5.412,SOFT,16.0,1
5.412,MEDIUM,22.0,1
5.412,HARD,35.0,1
5.412,HARD,40.0,1
5.412,HARD,43.0,1
5.412,HARD,34.0,1
5.412,MEDIUM,23.0,1
5.412,HARD,40.0,1
4.657,SOFT,16.0,1
4.657,SOFT,19.0,1
4.657,SOFT,20.0,1
4.657,MEDIUM,20.0,1
4.657,MEDIUM,16.0,1
4.657,SOFT,16.0,1
4.657,SOFT,16.0,1
4.657,SOFT,17.0,1
4.657,SOFT,13.0,1
4.657,MEDIUM,21.0,1
4.657,SOFT,23.0,1
4.657,SOFT,21.0,1
4.657,SOFT,17.0,1
4.657,MEDIUM,20.0,1
4.657,SOFT,13.0,1
